date,average_return
2016-02-17,3.4159461219526817
2016-02-23,-1.7870142892764194
2016-07-18,1.2794287167407825
2015-11-10,-1.5194239171720647
2016-03-28,-0.008409108677010835
2016-04-15,0.227262467104683
2016-04-28,-2.2088597443427505
2016-03-15,0.5787960091043446
2016-03-08,-0.6057026660765774
2015-11-13,-1.8375180259689479
2016-05-19,-0.23019137958149213
2016-07-07,0.09715465036525398
2016-01-22,3.302094630770406
2016-02-10,-0.14404341756471598
2016-02-24,0.5554611505485922
2016-07-01,0.5868243378298814
2016-09-06,0.5868591655510376
2016-03-17,1.0000952729378796
2016-04-05,-0.2837989018079707
2016-08-17,0.21581174603887293
2016-02-05,-3.7637017106108637
2016-06-21,0.6491375391549508
2016-08-24,-0.5603814232289412
2016-09-21,0.7671644561272787
2016-04-06,1.5509359922821548
